"ride.alc.driver","female","grade","age4","smoke","DriverLicense"
0,1,12,18,0,1
0,1,12,18,1,1
0,0,12,18,0,1
1,1,12,17,0,1
1,1,12,18,1,1
1,1,12,18,1,1
1,0,12,18,0,1
1,1,12,18,1,1
0,1,12,18,1,1
0,1,12,18,0,1
0,0,12,17,0,1
0,0,12,17,0,1
0,1,12,18,1,1
0,1,12,18,0,1
0,0,12,18,1,1
0,1,12,18,0,1
1,NA,12,18,1,1
0,1,12,18,1,1
0,1,12,17,1,1
1,1,12,18,1,1
0,1,12,18,1,1
0,0,12,18,1,1
0,1,12,18,1,1
0,1,12,17,1,1
0,1,12,18,1,1
0,0,12,17,1,1
0,1,12,17,1,1
0,1,12,17,1,1
1,1,12,17,1,1
0,1,12,18,1,1
0,0,12,18,1,1
1,1,12,18,1,1
0,1,12,18,1,1
0,1,12,17,1,1
0,1,12,18,1,1
1,1,12,18,1,1
0,1,12,18,1,1
0,1,11,18,1,1
0,0,10,16,1,1
0,1,11,16,1,1
0,1,11,16,1,1
1,1,11,17,1,1
0,1,11,16,1,1
0,1,11,17,0,1
1,1,11,16,1,1
0,0,11,17,0,1
1,0,11,17,1,1
1,1,11,17,1,1
1,1,11,17,1,1
0,1,11,18,0,1
1,0,11,17,0,1
1,NA,11,17,0,1
0,1,11,17,1,1
0,0,11,16,0,1
1,1,11,17,1,1
0,1,11,17,1,1
0,1,10,16,1,1
0,0,9,14,1,0
0,0,9,15,1,0
0,1,9,16,1,1
0,0,9,14,0,0
0,0,9,14,1,0
0,0,9,14,0,0
0,0,9,15,0,0
0,0,9,15,0,0
0,0,9,14,0,0
0,0,9,15,0,0
0,0,9,15,0,0
0,0,9,15,1,0
0,0,9,15,0,0
0,0,9,14,0,0
0,0,9,14,1,0
0,1,9,15,0,0
1,NA,9,15,0,0
0,0,9,15,0,0
0,0,9,14,1,0
0,0,10,NA,1,NA
0,0,10,15,0,0
0,0,10,15,1,0
0,0,10,17,1,1
1,1,10,17,1,1
0,1,11,17,1,1
0,1,10,16,1,1
0,1,10,16,1,1
1,1,10,16,1,1
0,1,11,17,1,1
0,1,10,16,1,1
0,0,10,15,0,0
0,1,10,15,1,0
0,1,10,15,1,0
0,0,10,16,1,1
0,0,10,16,1,1
0,0,9,14,0,0
0,0,9,14,0,0
0,0,9,15,0,0
0,0,10,15,1,0
1,1,9,15,1,0
0,1,9,15,1,0
1,1,9,15,1,0
0,0,9,14,0,0
1,1,9,15,1,0
0,0,11,16,1,1
0,0,9,14,0,0
0,0,9,14,0,0
0,0,9,15,0,0
0,0,9,15,1,0
0,1,9,14,0,0
0,0,9,15,0,0
0,1,12,18,0,1
0,1,9,15,1,0
0,0,9,15,0,0
0,0,10,14,NA,0
0,1,10,16,1,1
0,0,9,15,1,0
0,0,9,15,0,0
0,0,9,14,0,0
0,0,10,15,0,0
0,0,10,16,0,1
0,NA,9,14,1,0
1,1,9,15,1,0
0,0,9,14,1,0
1,1,9,15,1,0
0,1,9,14,1,0
0,1,9,14,1,0
0,1,9,14,1,0
1,1,12,18,1,1
0,0,9,14,1,0
1,1,9,15,1,0
0,0,9,15,0,0
1,0,9,15,1,0
0,0,9,14,1,0
1,1,9,14,1,0
0,NA,9,14,1,0
1,0,9,14,1,0
0,0,9,14,1,0
1,1,9,16,1,1
0,1,9,16,1,1
0,1,9,14,1,0
0,0,9,15,1,0
0,0,9,14,1,0
0,0,9,15,0,0
1,1,9,18,1,1
0,1,9,16,0,1
0,1,12,17,0,1
0,1,12,17,1,1
0,0,12,17,0,1
0,0,12,18,0,1
0,0,12,18,1,1
0,0,12,17,1,1
1,0,12,18,1,1
0,0,12,18,1,1
0,1,12,18,1,1
0,0,12,18,0,1
1,1,12,18,1,1
0,0,12,18,0,1
0,1,12,17,1,1
0,0,12,17,1,1
0,1,11,17,1,1
1,1,11,16,1,1
0,0,11,17,0,1
0,0,11,16,NA,1
0,1,11,16,1,1
0,1,11,16,1,1
0,1,11,17,1,1
1,1,11,16,1,1
1,1,11,17,1,1
0,1,11,16,1,1
0,1,11,17,0,1
1,NA,11,16,1,1
0,0,11,17,0,1
1,1,11,16,1,1
0,0,11,16,0,1
0,0,11,16,1,1
0,1,11,17,1,1
1,1,11,17,1,1
0,NA,11,16,1,1
0,0,11,17,0,1
0,1,11,16,1,1
0,0,11,16,1,1
1,1,9,15,0,0
0,1,9,15,0,0
0,0,9,15,1,0
0,1,9,15,1,0
0,0,9,14,0,0
0,0,9,15,0,0
0,1,9,15,1,0
0,0,9,16,1,1
1,1,10,15,1,0
1,1,9,15,1,0
1,1,9,15,1,0
1,1,9,15,1,0
1,1,9,14,1,0
0,0,9,15,1,0
1,0,9,15,0,0
0,0,9,14,0,0
0,1,9,15,1,0
0,0,9,14,0,0
1,1,9,14,1,0
0,0,9,14,0,0
0,0,9,15,0,0
1,0,9,15,0,0
0,1,9,15,1,0
0,1,12,18,1,1
0,0,12,17,1,1
1,1,12,17,1,1
0,1,12,18,1,1
0,0,12,17,1,1
0,0,12,18,0,1
0,0,12,18,1,1
0,1,12,17,1,1
0,0,12,18,0,1
1,1,12,18,1,1
0,1,12,18,1,1
0,1,12,18,0,1
0,1,12,18,1,1
1,1,12,18,1,1
1,1,12,18,1,1
0,1,12,18,1,1
0,1,12,17,1,1
0,1,10,15,1,0
0,0,10,17,0,1
0,1,10,17,1,1
0,1,10,16,1,1
0,NA,10,16,0,1
0,1,10,15,1,0
1,1,10,16,1,1
0,1,10,16,1,1
0,0,10,16,1,1
0,1,10,16,1,1
0,1,10,16,0,1
0,1,10,16,1,1
0,1,10,16,1,1
0,0,10,15,0,0
1,1,10,16,1,1
0,0,10,16,1,1
0,0,10,16,1,1
1,1,10,16,1,1
1,0,10,16,0,1
0,0,10,16,1,1
0,1,10,16,1,1
0,1,10,16,1,1
0,0,10,16,0,1
0,0,11,17,0,1
0,1,11,17,0,1
0,0,11,17,0,1
0,1,11,16,1,1
0,1,11,16,0,1
0,0,11,16,0,1
1,1,11,17,1,1
1,1,11,17,1,1
0,1,11,17,1,1
1,1,11,17,1,1
0,1,11,17,1,1
0,1,11,18,1,1
0,0,11,17,1,1
0,0,11,16,1,1
1,1,11,18,1,1
1,1,11,17,1,1
0,1,11,17,1,1
0,0,11,16,0,1
1,1,11,16,1,1
1,1,11,17,1,1
0,0,11,16,0,1
0,0,11,17,0,1
0,0,11,17,0,1
0,1,11,17,1,1
1,0,11,17,1,1
0,1,11,18,0,1
0,0,9,14,0,0
0,0,9,15,1,0
1,1,9,16,1,1
0,0,9,15,0,0
0,1,9,15,1,0
1,1,9,15,1,0
1,0,9,16,1,1
0,0,9,16,1,1
0,0,9,14,1,0
1,0,9,15,0,0
0,0,9,15,0,0
1,0,9,15,0,0
0,1,9,14,1,0
0,0,9,16,1,1
0,0,9,15,0,0
1,0,9,15,0,0
0,0,9,15,0,0
0,0,9,14,0,0
0,0,NA,16,1,1
1,0,9,15,1,0
1,1,9,15,1,0
0,0,9,15,1,0
1,0,9,15,1,0
0,0,9,14,0,0
0,0,9,15,0,0
0,0,9,15,0,0
0,0,9,14,0,0
0,0,9,15,0,0
1,0,9,14,0,0
0,0,9,14,1,0
1,1,12,18,1,1
0,0,12,18,1,1
0,1,12,18,1,1
1,1,12,17,1,1
1,1,12,17,1,1
1,0,12,17,1,1
0,1,12,17,NA,1
1,1,12,18,1,1
0,0,12,18,0,1
0,0,12,18,0,1
1,0,12,18,0,1
1,1,12,18,1,1
1,1,12,18,1,1
0,1,12,17,1,1
1,1,12,18,0,1
1,1,12,17,1,1
0,1,12,17,1,1
0,1,12,17,0,1
1,1,12,17,1,1
0,1,12,17,1,1
0,1,12,17,1,1
0,0,11,17,0,1
0,1,11,16,1,1
1,1,11,17,1,1
0,1,11,17,0,1
1,1,11,17,1,1
1,1,11,17,1,1
1,1,11,17,1,1
1,1,11,16,1,1
1,1,11,16,1,1
1,1,11,16,1,1
0,1,11,17,1,1
0,1,11,17,1,1
0,1,11,18,1,1
0,0,11,17,0,1
0,0,11,16,1,1
0,1,11,17,0,1
1,1,11,17,1,1
0,0,11,17,1,1
0,0,11,16,0,1
1,0,11,17,1,1
0,0,11,17,0,1
0,1,11,16,1,1
0,0,11,17,0,1
0,0,11,17,1,1
1,1,11,17,0,1
0,1,11,16,0,1
0,0,11,16,0,1
0,1,11,16,0,1
0,0,11,17,0,1
0,1,11,17,1,1
1,1,11,17,1,1
0,1,11,16,1,1
0,0,9,15,0,0
0,0,9,16,1,1
1,0,9,15,0,0
0,1,9,16,1,1
0,0,9,16,1,1
1,1,9,16,1,1
1,0,9,14,1,0
0,0,9,15,0,0
0,0,9,14,0,0
0,1,9,15,0,0
0,1,9,15,0,0
1,0,9,15,1,0
0,0,9,15,0,0
0,1,9,15,NA,0
0,0,9,14,0,0
0,1,9,16,1,1
1,1,9,14,1,0
1,1,9,14,1,0
0,0,9,15,0,0
1,1,9,15,1,0
0,1,9,14,1,0
1,1,9,15,1,0
0,0,9,14,1,0
0,1,9,15,1,0
0,0,9,15,0,0
0,0,9,15,0,0
1,1,9,15,1,0
1,0,9,15,1,0
1,1,9,15,1,0
0,0,9,14,0,0
0,0,9,14,0,0
0,0,9,15,0,0
1,0,9,14,1,0
0,0,9,14,1,0
0,0,9,14,1,0
1,1,9,15,1,0
0,0,10,16,0,1
1,1,10,16,0,1
1,1,10,16,1,1
1,1,10,16,1,1
0,1,10,16,0,1
0,0,10,16,0,1
1,1,10,16,1,1
1,1,10,16,1,1
1,1,10,16,1,1
1,0,10,16,1,1
1,0,10,17,1,1
0,1,10,15,1,0
0,0,10,16,0,1
0,0,10,16,1,1
0,NA,10,17,1,1
1,1,10,16,1,1
0,0,10,17,0,1
0,1,10,15,1,0
0,0,10,16,0,1
0,0,10,15,0,0
0,0,10,16,0,1
1,0,10,16,1,1
0,0,10,16,1,1
0,1,10,15,1,0
1,1,10,15,1,0
0,1,10,15,0,0
0,0,10,16,1,1
0,0,10,15,0,0
0,1,10,15,1,0
0,1,10,16,0,1
0,1,10,16,1,1
0,1,10,15,1,0
0,1,10,16,0,1
0,1,10,16,1,1
1,0,10,16,0,1
0,1,10,15,1,0
0,0,9,14,1,0
0,0,9,15,0,0
1,1,9,14,1,0
0,1,9,14,1,0
0,0,9,14,0,0
0,0,9,14,0,0
0,1,9,16,1,1
1,1,9,14,0,0
1,1,9,14,1,0
0,0,9,15,1,0
1,1,9,15,1,0
0,0,9,15,1,0
0,0,9,14,0,0
0,NA,9,17,NA,1
0,1,9,15,1,0
0,1,9,15,1,0
0,1,9,14,1,0
0,0,9,14,0,0
0,NA,9,16,1,1
0,1,9,15,1,0
0,1,9,15,1,0
0,0,9,15,1,0
0,1,12,18,1,1
0,0,12,17,0,1
0,0,12,18,1,1
0,0,12,18,1,1
0,1,12,18,1,1
1,1,12,18,1,1
0,1,12,17,1,1
0,1,12,18,1,1
1,1,12,18,1,1
0,1,12,18,1,1
1,1,12,18,1,1
0,0,12,18,1,1
0,1,12,17,0,1
0,0,12,17,0,1
0,1,12,18,0,1
0,1,12,17,1,1
1,1,12,18,0,1
0,1,12,17,1,1
0,1,12,17,1,1
0,0,12,17,0,1
0,0,10,16,0,1
0,1,10,16,1,1
0,0,10,16,1,1
1,0,10,16,1,1
1,0,10,17,1,1
1,1,10,16,1,1
0,0,10,16,1,1
1,1,10,16,1,1
0,1,10,16,0,1
0,1,10,17,1,1
1,1,10,16,1,1
0,0,10,15,1,0
0,1,10,15,1,0
0,0,10,17,1,1
0,0,10,16,0,1
0,1,10,16,1,1
1,0,10,16,0,1
0,0,11,17,0,1
0,1,11,17,1,1
0,1,11,17,1,1
1,1,11,17,1,1
0,1,11,17,1,1
1,0,11,16,0,1
0,0,11,16,0,1
0,1,11,17,0,1
0,1,11,16,0,1
0,0,11,17,0,1
1,1,11,16,1,1
1,0,11,17,1,1
0,0,11,17,0,1
0,1,11,17,0,1
0,0,11,17,0,1
0,0,11,16,1,1
0,0,11,16,0,1
0,0,11,16,0,1
0,1,11,16,0,1
0,NA,9,15,0,0
0,0,9,14,0,0
0,1,9,14,1,0
0,0,9,14,1,0
0,0,9,15,0,0
0,1,9,15,0,0
0,1,9,15,0,0
1,1,10,16,1,1
0,1,9,15,1,0
0,0,9,15,0,0
0,NA,9,14,1,0
0,0,9,15,0,0
0,0,9,14,1,0
0,0,9,15,1,0
0,0,9,15,0,0
0,0,9,15,0,0
1,0,9,14,0,0
0,1,9,14,1,0
0,0,9,15,1,0
0,1,9,15,0,0
0,0,9,14,1,0
1,1,9,15,1,0
0,0,9,14,0,0
0,1,9,14,0,0
0,0,11,17,1,1
0,0,11,16,0,1
0,1,11,17,1,1
0,0,11,17,0,1
0,0,11,17,0,1
0,0,11,17,1,1
0,1,11,17,0,1
1,1,11,16,1,1
0,0,11,16,0,1
0,1,11,17,1,1
0,0,11,16,1,1
0,1,11,16,0,1
0,0,11,16,0,1
0,0,11,17,0,1
0,1,11,17,1,1
0,1,11,17,1,1
0,0,11,16,1,1
1,1,11,17,1,1
1,1,11,17,1,1
0,0,11,17,0,1
0,1,11,17,0,1
1,1,10,16,1,1
0,0,10,16,0,1
0,0,10,16,0,1
1,1,10,16,1,1
0,1,10,17,1,1
1,1,10,16,1,1
0,0,10,15,0,0
1,0,10,15,1,0
1,1,10,15,0,0
0,0,10,15,0,0
0,0,10,15,1,0
0,0,10,15,1,0
1,1,10,15,1,0
0,0,10,16,0,1
0,1,10,16,1,1
0,0,10,16,0,1
1,1,11,17,0,1
0,0,11,16,1,1
0,1,10,16,0,1
0,1,11,16,1,1
0,1,11,17,1,1
0,1,11,16,1,1
0,1,11,17,1,1
1,1,11,17,1,1
1,0,11,18,1,1
0,0,10,16,0,1
0,1,11,17,1,1
0,1,11,16,1,1
1,1,12,16,1,1
0,1,10,16,1,1
0,0,10,15,0,0
0,0,10,16,0,1
0,0,11,17,0,1
0,0,11,16,0,1
0,1,12,18,1,1
0,0,10,15,0,0
0,0,10,15,0,0
0,1,10,17,1,1
0,1,10,15,1,0
0,0,10,16,0,1
0,1,10,16,1,1
1,NA,10,15,0,0
0,0,10,16,0,1
0,0,10,16,1,1
1,1,10,16,1,1
0,0,10,15,1,0
1,1,10,15,1,0
1,1,10,16,1,1
0,0,10,15,0,0
0,0,10,15,0,0
0,1,10,15,1,0
0,0,10,15,0,0
0,1,10,16,1,1
0,1,10,16,1,1
0,0,10,15,0,0
0,1,10,15,1,0
1,1,10,18,1,1
1,0,10,15,1,0
0,1,10,15,0,0
0,1,9,15,1,0
0,1,11,16,1,1
1,0,9,15,1,0
0,1,9,14,1,0
0,1,9,15,1,0
1,1,9,15,1,0
0,NA,9,14,NA,0
0,1,9,16,1,1
1,0,9,15,1,0
0,1,9,15,0,0
0,1,9,15,0,0
0,1,NA,NA,1,NA
0,1,9,15,0,0
0,0,9,15,1,0
0,1,9,15,1,0
0,0,9,14,0,0
0,1,9,15,0,0
1,1,9,15,0,0
0,1,9,14,0,0
0,0,9,14,0,0
0,1,9,15,1,0
0,1,9,14,1,0
1,0,9,14,0,0
0,0,9,16,1,1
1,1,9,15,1,0
0,1,9,15,1,0
0,1,9,15,1,0
1,1,9,15,1,0
0,1,9,15,1,0
0,0,9,16,0,1
0,1,12,18,1,1
1,1,12,18,1,1
0,1,12,18,1,1
0,1,12,18,1,1
0,1,12,18,1,1
0,1,12,17,1,1
0,1,12,18,0,1
0,1,12,17,1,1
0,1,12,17,0,1
1,1,12,18,1,1
0,1,12,17,1,1
0,1,12,18,0,1
1,1,12,18,1,1
0,1,12,17,1,1
0,1,11,17,1,1
0,1,12,17,1,1
0,0,12,18,1,1
0,1,12,17,0,1
0,1,12,18,NA,1
0,0,12,18,0,1
0,1,12,18,1,1
0,1,12,17,0,1
0,1,12,18,0,1
1,1,12,18,1,1
0,1,12,18,1,1
0,1,11,17,0,1
0,1,11,16,0,1
1,1,11,16,1,1
0,1,11,16,1,1
0,1,11,17,1,1
0,1,11,16,1,1
0,0,11,16,1,1
0,1,11,17,0,1
0,1,11,16,1,1
0,0,11,16,0,1
0,1,11,17,0,1
0,1,11,16,1,1
0,1,11,17,1,1
0,1,11,18,1,1
0,1,11,17,1,1
1,1,10,17,1,1
0,1,11,16,1,1
0,0,11,16,1,1
0,1,12,18,1,1
0,1,11,17,0,1
1,1,11,17,1,1
0,1,11,17,0,1
0,1,10,16,1,1
0,1,11,18,0,1
0,1,11,17,1,1
0,0,10,17,1,1
0,1,11,17,1,1
0,1,11,18,1,1
0,1,11,16,0,1
0,1,11,16,1,1
0,1,11,16,1,1
0,1,11,16,1,1
0,1,11,16,1,1
0,0,11,17,1,1
0,1,11,16,1,1
0,0,11,17,0,1
0,1,11,17,1,1
0,1,11,16,0,1
0,0,11,17,0,1
0,1,11,17,0,1
0,1,11,17,1,1
1,1,11,17,1,1
0,1,10,17,1,1
0,1,11,18,1,1
1,1,12,18,1,1
0,1,11,17,0,1
0,1,11,17,0,1
0,0,11,17,1,1
0,1,11,17,1,1
0,1,11,18,1,1
1,1,11,18,1,1
1,0,11,17,1,1
0,1,11,18,1,1
0,1,11,17,1,1
1,1,11,17,1,1
0,0,11,16,0,1
1,1,11,18,1,1
0,0,11,18,1,1
0,0,11,18,1,1
0,1,11,17,1,1
0,1,11,16,1,1
0,1,11,16,0,1
0,1,11,17,1,1
0,1,11,17,1,1
1,1,11,16,1,1
0,1,11,18,0,1
0,1,11,16,1,1
0,1,11,17,1,1
1,1,11,17,1,1
0,1,11,17,1,1
0,0,11,18,0,1
0,1,9,14,0,0
0,0,9,14,1,0
0,0,9,15,0,0
0,0,9,15,1,0
0,0,9,14,0,0
0,0,9,16,1,1
0,0,9,16,1,1
0,1,9,15,1,0
1,1,9,15,1,0
0,0,9,15,0,0
0,0,9,14,0,0
1,0,9,14,1,0
0,0,9,14,1,0
0,1,9,15,1,0
0,0,9,15,0,0
0,0,9,14,0,0
0,0,9,14,0,0
0,0,9,14,1,0
1,1,9,15,1,0
0,1,9,16,1,1
0,0,9,14,1,0
0,0,9,15,0,0
0,1,10,15,0,0
0,0,10,15,0,0
0,0,10,15,0,0
0,0,10,16,1,1
0,0,10,16,0,1
0,0,10,15,0,0
0,0,10,16,1,1
0,NA,10,15,1,0
0,0,10,15,0,0
0,0,10,15,0,0
0,0,10,16,1,1
0,0,10,15,0,0
0,0,10,16,0,1
1,0,10,16,0,1
0,0,10,16,0,1
0,0,10,15,1,0
1,0,10,15,1,0
1,1,10,16,1,1
1,0,10,15,1,0
0,0,10,16,0,1
1,0,10,15,0,0
1,1,10,15,1,0
0,1,10,16,1,1
1,1,NA,NA,1,NA
0,0,12,18,0,1
0,0,12,18,0,1
0,0,12,18,0,1
0,0,12,18,0,1
0,0,12,18,0,1
0,0,12,17,0,1
0,0,12,18,0,1
1,1,12,17,1,1
0,0,12,18,0,1
0,1,12,17,1,1
1,1,12,18,1,1
0,0,12,17,0,1
0,1,12,17,0,1
0,0,12,17,0,1
0,1,12,18,0,1
0,0,12,18,0,1
1,1,11,17,1,1
0,1,11,16,0,1
0,1,11,16,1,1
0,1,11,17,1,1
0,1,11,16,1,1
0,0,11,17,1,1
0,1,11,17,1,1
0,0,11,17,0,1
0,0,11,16,0,1
0,1,11,17,0,1
0,1,10,15,1,0
0,1,11,17,1,1
1,1,11,16,1,1
0,1,11,16,0,1
1,1,11,16,1,1
0,0,11,16,0,1
0,0,11,16,0,1
0,1,11,17,1,1
0,1,11,17,0,1
0,1,11,16,1,1
0,NA,12,18,1,1
0,NA,12,17,NA,1
1,1,10,17,1,1
0,0,10,15,0,0
1,1,10,15,0,0
0,1,10,16,0,1
0,0,10,15,1,0
0,1,10,16,1,1
0,1,10,17,1,1
1,1,10,16,1,1
0,1,10,15,1,0
1,1,10,16,1,1
0,1,10,16,1,1
0,1,12,17,1,1
0,1,10,16,1,1
0,0,10,15,0,0
0,1,10,16,0,1
0,1,10,16,1,1
0,0,10,15,1,0
1,1,9,16,1,1
1,1,10,16,1,1
0,NA,10,17,0,1
1,1,10,17,1,1
0,0,10,15,1,0
0,0,10,15,0,0
0,1,10,16,0,1
0,1,10,15,1,0
0,0,10,16,1,1
1,NA,10,15,1,0
0,1,10,16,1,1
0,NA,10,16,1,1
1,1,10,17,1,1
0,0,9,16,0,1
1,1,NA,17,1,1
0,1,11,18,0,1
1,1,10,16,1,1
1,1,10,16,1,1
0,0,10,15,1,0
1,1,10,16,1,1
0,1,12,17,0,1
0,1,12,17,1,1
0,1,12,18,1,1
0,1,12,17,0,1
1,1,12,18,1,1
0,1,12,18,1,1
1,1,12,17,1,1
0,1,12,17,1,1
0,1,12,17,1,1
0,1,12,18,1,1
1,1,10,16,1,1
0,NA,12,17,1,1
0,1,12,17,1,1
0,1,12,17,0,1
0,1,12,18,0,1
0,1,12,18,1,1
0,1,12,17,1,1
1,1,12,18,1,1
1,1,12,18,1,1
0,1,12,18,1,1
0,0,12,18,1,1
0,1,9,18,0,1
0,1,12,17,1,1
0,1,12,17,0,1
0,1,12,18,1,1
1,1,12,17,1,1
0,1,12,18,0,1
1,1,12,17,1,1
0,1,12,17,1,1
1,1,12,18,1,1
0,0,12,17,1,1
1,1,12,18,0,1
1,0,9,14,0,0
0,0,9,14,0,0
0,1,9,15,1,0
0,1,9,15,1,0
1,1,9,15,1,0
0,0,9,15,1,0
0,0,9,15,1,0
0,0,9,15,1,0
1,1,9,15,1,0
0,1,9,15,0,0
0,1,9,14,0,0
1,1,9,14,0,0
0,0,9,14,0,0
0,1,9,14,1,0
0,NA,9,16,NA,1
0,0,9,14,1,0
1,1,9,16,1,1
1,0,9,14,0,0
1,1,9,15,1,0
0,NA,9,15,NA,0
0,1,12,17,1,1
1,1,12,18,1,1
0,1,10,16,1,1
1,1,12,17,1,1
0,1,9,16,1,1
0,1,9,14,1,0
0,1,9,14,0,0
0,1,9,14,0,0
0,1,9,15,0,0
0,0,9,15,0,0
0,1,9,15,1,0
1,1,NA,NA,NA,NA
1,1,9,14,0,0
0,1,9,15,1,0
0,1,9,15,1,0
0,1,9,15,0,0
0,0,9,15,1,0
0,NA,9,15,1,0
0,1,11,17,1,1
0,0,11,17,1,1
0,NA,11,17,1,1
0,1,11,16,1,1
0,1,11,17,0,1
0,1,11,16,0,1
1,0,11,17,0,1
0,0,11,18,0,1
0,1,11,17,1,1
0,1,11,17,1,1
0,1,11,17,1,1
1,1,11,17,1,1
0,0,11,16,1,1
0,NA,10,16,1,1
0,0,9,15,0,0
1,0,9,14,0,0
0,0,9,14,0,0
0,1,9,15,0,0
0,0,9,15,0,0
1,0,9,14,0,0
1,1,9,15,1,0
0,0,10,15,0,0
0,0,9,14,0,0
1,0,9,14,0,0
0,NA,10,15,1,0
0,1,9,15,0,0
0,0,9,14,0,0
0,0,9,15,0,0
0,0,9,15,1,0
1,0,9,15,1,0
1,0,9,15,0,0
0,0,9,14,0,0
0,0,9,14,0,0
0,0,10,15,0,0
1,0,10,15,0,0
0,0,10,16,0,1
0,1,10,16,1,1
1,0,10,15,0,0
0,1,10,16,1,1
0,1,10,15,1,0
0,0,10,16,1,1
0,0,10,15,0,0
1,0,10,15,0,0
0,0,10,15,1,0
1,1,10,15,0,0
1,0,10,15,0,0
0,NA,10,15,0,0
0,0,10,15,0,0
1,NA,10,17,NA,1
0,NA,10,15,0,0
0,0,10,15,0,0
0,0,10,16,1,1
1,1,10,15,1,0
0,1,11,NA,1,NA
0,0,11,17,0,1
1,1,11,17,0,1
0,1,11,17,0,1
1,1,11,18,0,1
1,1,11,17,1,1
1,0,12,17,NA,1
0,1,11,17,1,1
1,1,12,18,0,1
0,1,11,18,1,1
0,1,11,16,1,1
1,1,12,17,0,1
0,1,12,18,1,1
1,NA,11,17,1,1
0,0,11,17,0,1
1,1,11,16,1,1
1,0,12,17,0,1
0,1,12,18,0,1
0,NA,11,16,1,1
0,0,11,17,0,1
1,1,11,17,0,1
1,1,12,17,1,1
1,1,12,17,1,1
0,1,11,16,1,1
0,0,11,17,1,1
0,0,11,17,0,1
0,1,12,17,1,1
0,0,12,17,1,1
0,0,11,16,1,1
0,1,11,16,0,1
0,1,11,17,0,1
0,1,12,17,1,1
0,1,11,17,1,1
1,NA,11,16,1,1
0,1,11,17,0,1
1,1,12,18,0,1
1,1,12,17,1,1
1,1,12,17,1,1
0,0,12,17,1,1
0,0,12,17,0,1
0,0,12,17,0,1
1,1,12,17,1,1
0,1,11,17,1,1
0,1,NA,NA,1,NA
0,0,12,17,0,1
0,1,12,18,1,1
1,1,12,18,1,1
0,0,12,17,0,1
0,1,12,17,1,1
0,0,12,17,1,1
0,1,12,17,1,1
1,1,12,17,1,1
0,1,12,17,1,1
0,1,12,17,0,1
0,1,12,18,1,1
0,1,11,17,1,1
0,0,9,15,0,0
0,0,9,14,1,0
0,0,9,14,0,0
0,0,9,14,1,0
1,0,9,14,0,0
1,1,9,14,1,0
1,0,9,14,0,0
0,0,9,14,1,0
0,0,9,14,0,0
0,1,9,15,0,0
0,0,9,14,0,0
0,0,9,14,0,0
0,0,9,15,1,0
0,0,9,15,1,0
1,0,9,14,0,0
1,0,9,14,1,0
0,0,9,14,0,0
0,0,10,15,1,0
0,0,9,15,0,0
0,0,9,14,0,0
0,0,9,14,0,0
1,0,9,14,1,0
1,0,9,14,1,0
0,0,11,16,0,1
0,0,11,16,1,1
0,0,11,16,0,1
0,1,11,16,1,1
0,0,11,16,0,1
0,0,11,16,0,1
0,0,11,16,0,1
0,0,11,17,0,1
1,NA,11,16,0,1
0,0,11,16,0,1
0,0,11,16,1,1
0,0,11,16,1,1
0,1,11,16,1,1
1,0,11,16,0,1
1,1,11,17,1,1
1,1,11,16,1,1
0,0,11,17,1,1
0,0,11,17,1,1
0,0,11,17,1,1
0,0,11,16,0,1
0,0,11,17,0,1
0,0,11,17,1,1
0,0,12,17,1,1
0,0,11,16,0,1
0,0,11,16,0,1
0,0,11,16,0,1
1,0,11,17,1,1
0,0,11,16,1,1
1,1,10,15,0,0
0,1,11,16,0,1
1,0,10,16,1,1
0,0,10,15,0,0
1,0,10,15,0,0
0,0,10,15,0,0
0,0,10,15,0,0
0,1,10,15,0,0
0,0,10,15,0,0
0,0,10,15,0,0
0,0,10,16,0,1
0,0,10,15,0,0
0,0,10,16,0,1
0,0,10,15,0,0
1,0,10,15,0,0
0,0,10,16,0,1
1,0,10,15,0,0
0,1,10,15,1,0
0,1,11,17,0,1
0,1,12,17,0,1
1,1,10,17,1,1
1,0,10,15,1,0
0,1,11,16,1,1
1,1,9,14,0,0
0,1,11,17,0,1
0,1,11,16,1,1
0,1,12,17,1,1
0,1,10,15,1,0
0,0,11,17,0,1
0,1,11,17,0,1
1,1,11,16,1,1
1,1,10,17,1,1
0,1,11,17,1,1
0,1,11,17,1,1
0,1,12,17,1,1
0,1,11,16,0,1
0,1,11,16,0,1
0,1,9,14,0,0
0,0,11,16,0,1
0,1,11,16,0,1
1,1,12,17,1,1
0,1,12,17,0,1
0,1,12,17,1,1
1,NA,12,17,0,1
0,1,12,17,0,1
0,0,12,18,1,1
0,1,11,16,0,1
0,1,11,17,1,1
1,1,11,16,1,1
1,1,12,18,1,1
0,0,12,18,0,1
1,0,11,16,0,1
0,1,10,15,0,0
0,1,11,17,0,1
0,1,12,17,1,1
0,1,10,16,0,1
0,1,10,16,1,1
1,1,10,17,0,1
1,1,12,18,1,1
0,0,9,14,0,0
0,1,10,15,1,0
0,1,11,17,0,1
0,0,9,15,0,0
1,1,12,17,0,1
0,1,12,17,0,1
0,0,12,17,0,1
0,1,10,15,1,0
0,1,11,16,0,1
0,1,9,16,1,1
0,1,12,18,0,1
0,1,10,16,1,1
0,1,12,18,1,1
0,0,12,17,1,1
0,1,12,18,0,1
0,1,12,18,1,1
0,1,10,16,0,1
